"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1097897869","9787513596916,7513596913","语言规划与语言教育 = Language planning and education","弗格森 (Ferguson, Gibson)","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Chinese language Standardization,Chinois (Langue) Normalisation,Yu yan gui hua Yan jiu,Yu yan jiao xue Yan jiu","Ben shu shen ru tan tao le yu yan gui hua ling yu zhong yu jiao yu xiang guan de yi xie he xin yi ti,Bao kuo shuang yu jiao yu,Yu yan fu xing,Ying yu de quan qiu chuan bo,Hou zhi min she hui jiao xue mei jie yu yan de xuan ze deng,本书深入探讨了语言规划领域中与教育相关的一些核心议题,包括双语教育,语言复兴,英语的全球传播,后殖民社会教学媒介语言的选择等","否"
"1130347649","9787521305135,7521305132","驴子建筑工的一天","瑞特 (Rentta, Sharon)","2019","chi","Book","PrintBook","Di 1 ban",3,"外语教学与研究出版社","Beijing","Tu hua gu shi Ying guo Xiandai","本书讲述了:动物建筑工们要为企鹅一家修建新居----""梦想家园"".""梦想家园""必须配备:沙坑,超级大冰箱和屋项游泳池,还有高低床,溜冰场,旋转滑梯.啊,这么多东西能装进一座房子里吗","否"
"1130350453","9787521305142,7521305140","小狗汽修师的一天","瑞特 (Rentta, Sharon)","2019","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Tu hua gu shi Ying guo Xiandai","本书讲述了:万事包搞定,汽修无小事.咦,是谁有这么大的能力.是野牛秦森,食蚁兽德克,松鼠南希,还是小狗迪伦,鸵鸟奥利维亚呢","否"
"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1193569653","9787521318739,7521318730","汉语辞书学论集","汪耀楠, author","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Bei jing","Chinese language Lexicography,Lexicography,Chinois (Langue) Lexicographie,Lexicographie","","否"
"1192494151","9787521319422,7521319427","立史安身 : 英国华人文学历史叙事研究 = The politics of survival : narrating histories in British Chinese literature","肖淳端, author","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","English literature Chinese authors History and criticism,Chinese literature Great Britain History and criticism,Littérature anglaise Auteurs chinois Histoire et critique,Littérature chinoise Grande-Bretagne Histoire et critique,Chinese literature,English literature Chinese authors,Great Britain,Criticism, interpretation, etc","","否"
"1126792320","9787521310610,7521310616","中英参照迦陵诗词论稿 = Selected essays on shi and ci poetry by Jialing, Chinese-English cross-referencing editioin","Chia-ying Yeh","2019","chi","Book","PrintBook","Di 1 ban",4,"外语教学与研究出版社","Beijing","Chinese poetry History and criticism,Ci (Chinese poetry) History and criticism,Poésie chinoise Histoire et critique,Ci (Poésie chinoise) Histoire et critique,Gu dian shi ge Shi ci yan jiu Zhong guo Han yu Ying yu,Chinese poetry,Ci (Chinese poetry),Criticism, interpretation, etc","Ben tao shu yi 1998 nian ha fo da xue ya zhou zhong xin (Harvard University Asia Center) chu ban de "" zhong guo shi ge lun ji "" (Studies in Chinese Poetry) wei lan ben, shou lu zuo zhe zhong guo gu dian shi ci yan jiu fang mian ju you dai biao xing de wen gao shi san pian, zhu yao you : lun su shi ci, lun xin qi ji ci, lun zhou bang yan ci, chai sui qi bao lou tai -- tan meng chuang ci zhi xian dai guan, bi shan ci xi lun, wang yi sun qi ren ji qi ci, lun chen zi long ci, chang zhou ci pai bi xing ji tuo zhi shuo de xin jian tao, you "" ren jian ci hua "" tan dao shi ge de xin shang deng. zuo zhe bai tuo zhong guo chuan tong zhi yue shu, jie he le jin nian suo du de xi fang wen lun, dui yu ci zhi mei xue te zhi yu ci xue zhi li lun jin xing le tan tao","否"
"1344360565","9787521330663,7521330668","女性跨文化镜像认同 : 赛珍珠、史沫特莱、项美丽的中国叙事研究","龙丹 (Writer on American literature), author","2021","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Buck, Pearl S. 1892-1973 Criticism and interpretation,Smedley, Agnes, 1892-1950 Criticism and interpretation,Hahn, Emily, 1905-1997 Criticism and interpretation,Buck, Pearl S. 1892-1973,Hahn, Emily, 1905-1997,Smedley, Agnes, 1892-1950,Women in literature,American literature 20th century History and criticism,American literature Women authors History and criticism,Feminism and literature United States History 20th century,Femmes dans la littérature,Littérature américaine 20e siècle Histoire et critique,Écrits de femmes américains Histoire et critique,American literature,American literature Women authors,Feminism and literature,Literature,China In literature,China,United States,Criticism, interpretation, etc,History,1900-1999","""女性跨文化镜像认同-赛珍珠,史沫特莱,项美丽的中国叙事研究""以美国女作家赛珍珠,史沫特莱和项美丽的跨文化经历和中国叙事为研究对象,聚焦作品中的中国妇女形象,论述该形象折射的女性主义思想及其受中国文化的影响.本书将三位女作家的中国叙事作品放在20世纪20-40年代美国妇女运动和中国新女性话语的背景之下,结合美国女作家的中国文化体验,与中国妇女及知识分子的交往,具体分析其作品中的中国妇女形象.旅居中国的美国女性亲眼见证中国妇女的思想,角色和命运在传统的负担和历史的变迁中沉淀,裂变,涅槃,与中国妇女相异或相似的体验促使她们反思女性共同的命运,中国特殊的历史时期提供了一个特殊的时空让她们审视,检验,修正,巩固自己的女性主张.她们在写作中对中国体验和中国妇女进行想像性重构,其女性理想从自我流向他者,经由他者回返,穿上理想的外衣再次回流投射到他者身上.她们的女性理想在中国妇女形象中展现出来,自我与他者在文学想象中融合,中国文化在现代女性主体身上留下印记","否"
"1286308033","9787521322996,7521322991","翻译与现代汉语白话文的发展 : 基于历时复合语料库(1900-1949)的研究 = Translation and the development of modern Chinese : a diachronic multiple corpora (1900-1949) study","赵秋荣, author","2021","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Chinese language Modern Chinese, 1919- Foreign elements,Chinese language Modern Chinese, 1919- Grammar,Chinese language 20th century European influences,Chinois (Langue) 1919- (Chinois moderne) Emprunts,Chinois (Langue) 1919- (Chinois moderne) Grammaire,Chinois (Langue) 20e siècle Influence européenne,Chinese language Modern Chinese Grammar,Since 1900","","否"
"1123210740","9787513598385,751359838X","韩礼德学术思想的中国渊源和回归 = The Chinese origin of Halliday's academic thoughts and its return","胡壮麟, author","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Halliday, M. A. K. 1925-2018 Knowledge and learning,Hanlide Yuyanxue Yanjiu Hanyu Yingyu,Halliday, M. A. K. 1925-2018,Functionalism (Linguistics),Systemic grammar,Fonctionnalisme (Linguistique),Grammaire systémique,Learning and scholarship","Ben shu shi zhu ming yu yan xue jia hu zhuang lin jiao shou dui han li de de xue shu si xiang ji qi zhong guo yuan yuan de jian jin shi chan shu, kua yue san shi duo nian, qi zhong, di yi bu fen "" zhong guo yuan yuan "" fan ying le zuo zhe dui han li de xue shu si xiang zhong guo yuan yuan zai bu tong shi qi de ren shi guo cheng ; di er bu fen "" li lun tan tao "" zhu yao tan zuo zhe xue xi le han li de li lun hou de ti hui he jin yi bu tan tao, tu chu de shi "" xi tong "" he "" gong neng "" zhe liang ge li lun gai nian ; di san bu fen "" yu pian yan jiu "", ji xi tong gong neng yu yan xue yu chuan tong yu fa -- ju zi yu fa de zui da bu tong, shi han li de geng wei qiang diao dui "" hua yu "" huo "" yu pian "" de yan jiu ; di si bu fen "" han yu yan jiu "" jiang han li de de yu yan xue li lun ying yong yu guo nei han yu de fa zhan, shi han li de de xue shu si xiang zai zhong guo ju you zhong yao de shi jian yi yi, dui guo nei du zhe zeng jin dui han li de xue shu si xiang de li jie he ying yong ju you zhong yao de yi yi","否"
"1243214294","9787521318135,7521318137","音乐的艺术 : 塞纳诗歌集 = Arte de musica","德·塞纳 De Sena, Jorge 1919-1978","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Shi ji Pu tao ya Xiandai","本书从西方古典音乐作品出发,在诗歌创作中借鉴和融入大量音乐作曲技巧,将音乐变形为诗歌,却并不止步于对音乐的单纯感悟,而是以人文主义者的视角,倾注了对人与生命的深刻体悟与哲思","否"
"1202766989","9787521311556,7521311558","译学方法论研究 = On research methodology in translation studies","蓝红军, author","2019","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Translating and interpreting","","否"
"1081310601","9787513598149,7513598142","近代汉日词汇交流研究","李运博, 1969- author","2018","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese language Foreign words and phrases Japanese,Chinese language Foreign elements Japanese,Chinese language New words,Chinese language Terms and phrases,Chinois (Langue) Emprunts japonais,Chinois (Langue) Néologismes,Chinese language,Dictionaries","","否"
"1250464918","9787521321166,7521321162","多元视野下的古代文学研究","石云涛","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Chinese literature History and criticism,Littérature chinoise Histoire et critique,Chinese literature,Criticism, interpretation, etc","","否"
"1178863257","9787521306156,7521306155","外国文学通览 / 2017","金莉","2018","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Literature History and criticism,Littérature Histoire et critique,Wai guo wen xue Wen xue yan jiu,Literature,Criticism, interpretation, etc","本书盘点和梳理了2017年各国的文学成就,意义和经验,展示各国文学界在这一年中的重要事件和文学潮流变迁,探讨各国作家的思想探索和艺术追求,为读者描绘了一幅2017年的世界文学版图","否"
"1125014115","9787521305654,7521305655","中文小说英译研究 = Studies on English translation of Chinese fiction","王颖冲, author","2018","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese fiction Translations into English History and criticism,Translating and interpreting,Chinese fiction","《中文小说英译研究》是关于中国中文小说,特别是现当代小说英译研究的研究,旨在探讨国内外对中文小说英译的研究脉络、最新发现、发展趋势和建议.全书共五章.第一章全面介绍中国文学英译的综述类研究,呈现译介和译介研究的全景.第二至五章分别深入探讨作家与作品研究、译者研究、译介过程研究和传播与接受研究等四大分支,对现有成果进行分类述评与阐释,并对未来研究的方向和方法提出展望和建议.本书旨在帮助读者了解中文小说英译的研究现状和前景,进而思考与此话题相关的研究该从何处着眼、何处入手,为致力于文学译介研究的硕博研究生和研究者提供选题参考","否"
"1097642281","9787513598347,7513598347","翻译与规范 = Translation and norms","谢芙娜","2018","chi","Book","PrintBook","Di 1 ban",3,"外语教学与研究出版社","Beijing","Fan yi Gui fan Wen ji","Ben shu bao kuo 12 ge zhang jie,Qi zhong liang ge zhang jie wei liang ci bian lun,Qi yu 10 ge zhang jie fen bie you lai zi bu tong guo jia he di qu de 8 wei xue zhe zhuan xie er cheng.Lun ti chu le fan yi gui fan zhi wai,Hai she ji fan yi biao zhun,Deng zhi li lun,Wen xue fan yi yu fei wen xue fan yi deng zhong yao hua ti,本书包括12个章节,其中两个章节为两次辩论,其余10个章节分别由来自不同国家和地区的8位学者撰写而成.论题除了翻译规范之外,还涉及翻译标准,等值理论,文学翻译与非文学翻译等重要话题","否"
"1235814520","9787521314434,7521314433","走遍中国 : 练习册2 = Discover China : workbook two","王丹","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Chinese language Study and teaching Foreign speakers,Chinois (Langue) Étude et enseignement Allophones","","否"
"1302173341","9787521314618,7521314611","The peach blossom fan : a Kunqu Opera","龚蓉","2021","eng","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing Shi","Chinese drama,Théâtre chinois","","否"
"1200843899","9787513597678,7513597677","温妮和虫虫历险记","托马斯 (女,Thomas, Valerie)","2020","chi","Book","PrintBook","Di 1 ban",1,"外语教学与研究出版社","Beijing","Tu hua gu shi Ao da li ya Xiandai","本书讲述:温妮野餐时突发奇想,她决定把自己和大黑猫威尔伯变得像虫子一样小.可是,变小似乎并不是一件有趣的事情,他们随时面临被吃掉,被踩扁的危险.温妮后悔了,她想变回原来的大小,但魔法棒却被卡在了高高的玫瑰花从里","否"
"1130342655","9787521305111,7521305116","小熊邮递员的一天","瑞特 (Rentta, Sharon)","2019","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Tu hua gu shi Ying guo Xiandai","本书讲述了关于寄出一封信和收到一封信的故事,向我们展示了如何通过纸质信件这种古老的邮寄方式,为两个相距摇远的明友传递友情","否"
"1296100152","9787521322927,7521322924","长城汉语 生存交际3 : 学生用书","宋继华.","2020","chi","Book","PrintBook","Di 2 ban",1,"外语教学与研究出版社","Beijing","Chinese language Textbooks for foreign speakers,Chinese language Conversation and phrase books,Chinese language Spoken Chinese,Chinois (Langue) Manuels pour allophones,Chinese language,Conversation and phrase books,Textbooks for foreign speakers","","否"
"1198156802","9787521309461,7521309464","美宝的魔法花园","梅特卡夫 (Metcalf, Paul)","2019","chi","Book","PrintBook","Di 1 ban",3,"外语教学与研究出版社","Beijing","Tu hua gu shi Ying guo Xiandai","本书讲述:美宝有一个美丽的花园.她常常与好朋友乔治和尼克一起在花园里玩游戏.一天,美宝怀疑乔治和尼克偷走了她的花儿,于是就垒起了一堵高墙把花园围起.可是,美丽的花儿却慢慢枯萎,美宝变得越来越孤独,越来越伤心.这时,一件神奇的事情发生了,它不仅让枯萎的花儿复活了,而且让美宝的花园变得更大,更美丽.到底是什么如此神奇,这是个秘密,先不告诉你.读完这本书,你就会发现谜底","否"
"1262136604","9787521322439,7521322436","中华典籍外译研究 = Studies on the translation of Chinese classics","范祥涛, 1966- author","2020","chi","Book","PrintBook","Di 1 ban",2,"外语教学与研究出版社","Beijing","Chinese classics Translations,Chinese classics Translations History and criticism,Chinese literature Translations,Translating and interpreting China History,Classiques (Littérature chinoise) Traductions,Classiques (Littérature chinoise) Traductions Histoire et critique,Littérature chinoise Traductions,Chinese classics,Chinese literature,Translating and interpreting,China,Criticism, interpretation, etc,History,Translations","","否"
